RecordID,HospitalID,DeptID,MonthStart,TotalCost,BilledAmount,InsuranceCoveragePct,ProfitMargin
1,6,42,2025-02-01,3741767.07,5595499.43,0.83,0.3313
2,6,42,2020-09-01,2168216.03,3195109.49,0.56,0.3214
3,1,5,2020-12-01,3161934.92,3831750.46,0.62,0.1748
4,7,52,2023-07-01,2822121.1,2902114.43,0.63,0.0276
5,2,10,2023-12-01,3565874.2,4354934.5,0.35,0.1812
6,6,41,2020-01-01,638399.14,581398.87,0.86,-0.098
7,10,79,2024-07-01,2100847.87,3006873.77,0.42,0.3013
8,10,73,2021-09-01,3257309.27,3284264.49,0.75,0.0082
9,8,57,2023-07-01,1102587.26,1239235.6,0.61,0.1103
10,5,38,2024-07-01,3930739.39,4603849.2,0.44,0.1462
11,6,43,2022-09-01,4945402.63,7068700.96,0.48,0.3004
12,4,29,2020-06-01,3682496.59,5052534.56,0.54,0.2712
13,4,26,2021-06-01,3555465.6,5109414.81,0.64,0.3041
14,5,33,2024-11-01,1744305.31,2476692.98,0.77,0.2957
15,8,58,2023-09-01,3207438.25,4095805.54,0.91,0.2169
16,7,51,2022-03-01,3143017.96,3006649.55,0.67,-0.0454
17,3,18,2022-09-01,4433981.17,6183705.35,0.59,0.283
18,9,72,2023-10-01,2181954.63,2352256.53,0.66,0.0724
19,8,63,2024-12-01,2000215.41,1830056.92,0.25,-0.093
20,1,7,2022-01-01,312273.62,327042.09,0.37,0.0452
21,5,35,2022-11-01,654805.98,938611.87,0.73,0.3024
22,3,24,2025-05-01,726897.18,820820.11,0.32,0.1144
23,2,15,2022-03-01,3208973.73,3017688.27,0.4,-0.0634
24,2,10,2025-06-01,930429.52,1330311.17,0.44,0.3006
25,4,31,2024-01-01,2084671.25,2460666.28,0.67,0.1528
26,5,33,2025-10-01,2437058.04,2718490.81,0.71,0.1035
27,10,74,2021-09-01,1523566.55,1653014.93,0.66,0.0783
28,4,27,2023-04-01,324890.05,364102.59,0.31,0.1077
29,4,27,2021-06-01,1346656.83,1437384.08,0.6,0.0631
30,5,33,2025-09-01,3672159.62,3403700.6,0.64,-0.0789
31,10,79,2021-05-01,4769672.4,6817105.78,0.53,0.3003
32,4,30,2024-06-01,4673186.33,5960835.78,0.48,0.216
33,4,26,2021-09-01,1053223.37,1027252.94,0.35,-0.0253
34,5,34,2023-09-01,499420.71,665168.99,0.39,0.2492
35,2,9,2020-11-01,413328.45,411844.72,0.84,-0.0036
36,2,16,2022-05-01,1084006.67,1063847.42,0.27,-0.0189
37,8,62,2022-08-01,592385.82,758305.12,0.35,0.2188
38,5,36,2020-04-01,4864564.96,6266694.35,0.39,0.2237
39,8,57,2020-11-01,2029573.09,2221980.06,0.92,0.0866
40,4,25,2020-03-01,4009430.32,5631002.89,0.27,0.288
41,1,3,2024-09-01,4910581.27,7224760.35,0.78,0.3203
42,4,25,2021-12-01,3418836.31,3309876.25,0.69,-0.0329
43,6,42,2021-05-01,4063706.19,5510051.18,0.62,0.2625
44,4,28,2020-05-01,3559368.0,4824178.01,0.62,0.2622
45,9,68,2023-02-01,2409919.3,3362170.17,0.64,0.2832
46,9,69,2025-02-01,3240079.81,4468526.68,0.42,0.2749
47,9,67,2021-06-01,1776356.75,1886675.36,0.66,0.0585
48,2,14,2024-08-01,4547605.61,5138414.64,0.46,0.115
49,2,12,2020-03-01,4337229.15,6228265.55,0.66,0.3036
50,5,34,2021-03-01,1725615.57,2222475.23,0.42,0.2236
51,8,64,2020-01-01,1673747.77,2429720.62,0.33,0.3111
52,9,72,2021-04-01,4216230.0,4406387.88,0.51,0.0432
53,5,36,2021-06-01,4866785.1,5482434.74,0.24,0.1123
54,5,36,2023-06-01,2607377.54,3204985.19,0.51,0.1865
55,9,69,2023-04-01,855139.13,918780.5,0.62,0.0693
56,5,36,2025-08-01,4858247.96,6199763.21,0.59,0.2164
57,9,72,2021-05-01,856490.14,1185391.13,0.55,0.2775
58,9,68,2023-01-01,3907258.91,4806118.57,0.3,0.187
59,7,55,2020-09-01,4836638.89,6877380.42,0.83,0.2967
60,4,28,2023-07-01,2228792.2,3012338.63,0.3,0.2601
61,9,72,2023-02-01,2273391.89,2150436.14,0.71,-0.0572
62,4,26,2023-05-01,4322392.41,6403385.06,0.23,0.325
63,3,22,2025-07-01,2695887.13,3328317.22,0.27,0.19
64,2,11,2020-09-01,212699.26,253057.72,0.8,0.1595
65,3,18,2025-08-01,828514.79,1191800.77,0.49,0.3048
66,7,52,2024-05-01,291854.78,409143.15,0.57,0.2867
67,9,67,2024-08-01,4148240.36,4356071.65,0.27,0.0477
68,8,61,2023-11-01,903114.89,1198890.07,0.52,0.2467
69,3,22,2023-10-01,184526.05,172283.52,0.42,-0.0711
70,5,40,2022-09-01,3179793.53,4658259.55,0.31,0.3174
71,5,35,2024-02-01,972608.23,1442281.25,0.66,0.3256
72,7,50,2024-09-01,4775236.34,6585956.33,0.53,0.2749
73,9,72,2021-03-01,651222.67,647528.33,0.8,-0.0057
74,7,50,2024-06-01,1168745.04,1367014.09,0.39,0.145
75,3,20,2024-05-01,4500423.46,4051327.36,0.71,-0.1109
76,3,20,2024-06-01,3117454.73,4396581.36,0.45,0.2909
77,5,37,2025-09-01,1836383.57,2459757.86,0.76,0.2534
78,6,46,2022-12-01,2659664.27,3927697.51,0.62,0.3228
79,6,45,2024-12-01,461172.48,690791.95,0.3,0.3324
80,10,74,2024-02-01,3525579.95,4037961.76,0.76,0.1269
81,2,11,2023-11-01,4041097.24,5175456.76,0.67,0.2192
82,2,12,2021-11-01,4883205.09,6095235.38,0.32,0.1988
83,7,56,2022-03-01,1695582.96,1986535.55,0.65,0.1465
84,6,48,2020-10-01,3703743.75,3998507.98,0.5,0.0737
85,5,33,2022-09-01,1786488.93,1984187.96,0.46,0.0996
86,7,52,2023-11-01,3151337.54,2969471.06,0.22,-0.0612
87,3,20,2022-02-01,3034630.48,4544632.61,0.75,0.3323
88,8,57,2024-10-01,3840668.04,5599536.57,0.23,0.3141
89,6,46,2020-07-01,1314337.49,1558360.16,0.77,0.1566
90,3,22,2021-06-01,4084442.16,4899165.71,0.75,0.1663
91,10,75,2021-02-01,3219025.15,4459458.78,0.93,0.2782
92,8,58,2021-03-01,1968993.61,2644587.88,0.41,0.2555
93,7,55,2025-06-01,4235951.75,5731554.68,0.8,0.2609
94,5,40,2025-04-01,2478400.4,2663972.06,0.62,0.0697
95,10,76,2024-05-01,407757.22,559100.6,0.38,0.2707
96,5,39,2022-12-01,4303235.21,6050142.09,0.56,0.2887
