SnapshotID,HospitalID,DeptID,SnapshotDate,BedOccupancyRate,EquipmentUtilizationRate,StaffUtilizationRate,ERWaitTimeMinutes
1,5,35,2025-02-24,0.46,0.2,0.39,22
2,3,22,2024-01-15,0.41,0.39,0.33,40
3,8,62,2021-10-03,0.91,0.18,0.79,5
4,10,80,2022-11-24,0.5,0.2,0.68,0
5,9,72,2022-05-01,0.55,0.12,0.5,5
6,2,15,2023-10-21,0.51,0.54,0.35,50
7,2,11,2021-06-27,0.92,0.29,0.31,13
8,5,35,2025-08-28,0.43,0.25,0.62,7
9,5,38,2023-06-17,0.79,0.94,0.51,8
10,3,21,2025-01-20,0.66,0.53,0.6,3
11,4,26,2021-01-23,0.96,0.14,0.42,63
12,3,19,2021-03-11,0.43,0.89,0.38,59
13,4,31,2020-02-29,0.51,0.86,0.48,55
14,9,72,2022-03-22,0.48,0.19,0.58,78
15,8,58,2025-08-20,0.52,0.4,0.31,7
16,6,41,2022-10-22,0.81,0.14,0.82,32
17,4,25,2022-11-20,0.31,0.11,0.37,7
18,1,2,2023-06-23,0.95,0.8,0.39,3
19,10,73,2024-10-14,0.37,0.9,0.76,33
20,4,25,2025-02-19,0.45,0.39,0.66,44
21,6,43,2024-08-13,0.97,0.5,0.61,17
22,4,26,2022-04-14,0.73,0.65,0.77,14
23,9,68,2020-05-13,0.69,0.33,0.41,6
24,8,59,2023-08-04,0.64,0.23,0.51,26
25,3,23,2024-06-04,0.21,0.36,0.86,4
26,4,25,2025-09-07,0.41,0.28,0.72,21
27,1,8,2020-03-19,0.97,0.21,0.37,17
28,6,41,2025-06-18,0.57,0.15,0.57,50
29,1,8,2023-07-20,0.39,0.84,0.45,13
30,9,67,2020-01-31,0.94,0.25,0.58,16
31,5,34,2023-07-16,0.65,0.13,0.89,13
32,9,70,2023-09-09,0.79,0.57,0.33,81
33,5,34,2025-09-07,0.68,0.4,0.43,20
34,9,67,2020-01-25,0.5,0.45,0.33,14
35,10,74,2024-06-08,0.8,0.46,0.93,112
36,1,1,2021-03-19,0.75,0.15,0.36,11
37,1,8,2025-05-28,0.77,0.33,0.94,0
38,5,39,2021-09-14,0.61,0.31,0.51,32
